,gene_ids,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm,mean,std
VIPR1,ENSG00000114812,45,False,45,0.03,98.33333333333333,81.0,True,0.09727110735984396,3.7955903022327884,4.040846,-1.1518657310930074e-10,0.21592826854061695
NKTR,ENSG00000114857,358,False,358,0.15555556,86.74074074074073,420.0,True,0.5212327732770964,2.7017897763653513,0.6415059,-2.5983829223540265e-10,0.592038196508555
ABHD5,ENSG00000011198,66,False,66,0.04111111,97.55555555555556,111.0,True,0.15282229805364586,4.349900945220295,5.135317,-1.8163415948613924e-10,0.2621748667386402
ELP6,ENSG00000163832,142,False,142,0.07037037,94.74074074074073,190.0,True,0.26795438847070113,4.197361786182362,4.8341327,-3.209144125570394e-10,0.37811274823204033
NME6,ENSG00000172113,87,False,87,0.05074074,96.77777777777777,137.0,True,0.1786543043447645,3.9400167303881473,4.326012,1.588685210678413e-12,0.304047205406465
TREX1,ENSG00000213689,328,False,328,0.15925926,87.85185185185185,430.0,True,0.4826534783248856,3.0395936326325295,1.0744275,-8.896637179799112e-11,0.5577970998174375
UQCRC1,ENSG00000010256,499,False,499,0.24,81.51851851851852,648.0,True,0.6644753975953469,3.1925157869347234,1.2214292,-3.360951823479665e-10,0.6529539666265999
ARIH2OS,ENSG00000221883,77,False,77,0.03851852,97.14814814814815,104.0,True,0.15079644916770082,3.0281899261880403,2.5256355,2.0900036549369344e-10,0.29448051278979087
QRICH1,ENSG00000198218,104,False,104,0.046296295,96.14814814814815,125.0,True,0.17141665168543474,2.6112993691806197,1.7024968,-4.037908243807633e-12,0.31934878513063497
USP19,ENSG00000172046,47,False,47,0.02037037,98.25925925925925,55.0,True,0.08622134110036278,2.4074117269393382,1.2999263,-5.192876875702747e-12,0.22676778550742066
GPX1,ENSG00000233276,1136,False,1136,1.2855556,57.925925925925924,3471.0,True,1.8774805695518573,3.616988365421042,1.6156527,1.9011266354451676e-10,1.209005505354285
TCTA,ENSG00000145022,84,False,84,0.03851852,96.88888888888889,104.0,True,0.14650400916756912,2.637065327096841,1.7533709,3.149127128722543e-10,0.29634398915562576
IP6K1,ENSG00000176095,98,False,98,0.04222222,96.37037037037037,114.0,True,0.17186785847691075,2.5144381783735086,1.511247,-1.482772863299852e-10,0.32496315784634505
FAM212A,ENSG00000185614,24,False,24,0.0129629625,99.11111111111111,35.0,True,0.05057697102262443,2.1443658401463517,0.7805495,-1.2028774202796344e-10,0.17424373807613022
RBM5,ENSG00000003756,176,False,176,0.09259259,93.48148148148148,250.0,True,0.3879463223224324,5.097518100729062,3.7118154,-1.101488412737033e-10,0.4339889011369944
GNAI2,ENSG00000114353,618,False,618,0.3225926,77.11111111111111,871.0,True,0.8305943072354409,2.688423442311993,0.5076444,4.5895350530709706e-11,0.7552778931968142
NPRL2,ENSG00000114388,146,False,146,0.07962963,94.5925925925926,215.0,True,0.3146381060093813,4.354488834326217,2.7595665,-4.1941289561910103e-10,0.39957663733849447
C3orf18,ENSG00000088543,10,False,10,0.0037037036,99.62962962962963,10.0,True,0.021262773911572126,2.0261924706670715,0.5472195,4.841559551553158e-12,0.11388011516480268
HEMK1,ENSG00000114735,49,False,49,0.037777778,98.18518518518519,102.0,True,0.1594667015164222,4.821633206724409,6.066739,6.248828495335091e-11,0.25057343773482577
CISH,ENSG00000114737,207,False,207,0.09703704,92.33333333333333,262.0,True,0.36658347084553533,2.9945532863583253,1.0167048,-2.9514240802825625e-10,0.48343273985774105
GLYCTK,ENSG00000168237,47,False,47,0.024814814,98.25925925925925,67.0,True,0.09149011421338671,3.2298811316874376,2.9238691,1.516311773303063e-10,0.22199324837833245
PBRM1,ENSG00000163939,118,False,118,0.058518518,95.62962962962963,158.0,True,0.2146982278191809,2.8625706267303976,2.1986248,-2.0193954233512272e-10,0.3596568399730143
PRKCD,ENSG00000163932,146,False,146,0.0637037,94.5925925925926,172.0,True,0.23309426537945757,2.70850682073588,1.8944302,2.383772512210125e-10,0.37573487235649156
CCDC66,ENSG00000180376,119,False,119,0.05925926,95.5925925925926,160.0,True,0.26681242135465066,4.303926495077668,5.044542,-9.885152421999015e-12,0.3737531801857825
ARF4,ENSG00000168374,381,False,381,0.17185186,85.88888888888889,464.0,True,0.5375277183691054,2.7364671471931588,0.68594766,8.19055486394204e-11,0.5981846659045438
DENND6A,ENSG00000174839,39,False,39,0.017407408,98.55555555555556,47.0,True,0.07223652971386826,2.2444795339269654,0.97822124,1.5622071238337728e-10,0.20889455569153095
DNASE1L3,ENSG00000163687,8,False,8,0.017777778,99.70370370370371,48.0,True,0.034178538248179256,3.251856878731377,2.9672596,3.619538095241418e-11,0.1230784234298239
THOC7,ENSG00000163634,434,False,434,0.22703704,83.92592592592592,613.0,True,0.6850208050833804,4.128695410808563,2.5470412,-5.140279259439487e-10,0.6513342118632864
SUCLG2,ENSG00000172340,352,False,352,0.15777777,86.96296296296296,426.0,True,0.4984622418285178,3.08564433314998,1.1334449,-4.5612917604366877e-10,0.5714340080481497
EOGT,ENSG00000163378,19,False,19,0.011481482,99.29629629629629,31.0,True,0.04546763961383474,3.2040248612164564,2.8728166,-1.3895479325343479e-11,0.1509444500806342
ARL6IP5,ENSG00000144746,1222,False,1222,0.7351852,54.74074074074073,1985.0,True,1.4521564737647388,3.5698574454388954,1.9339435,4.840635576647642e-10,0.9929118404782432
PROK2,ENSG00000163421,8,False,8,0.002962963,99.70370370370371,8.0,True,0.022377160760613555,2.0855617463906304,0.6644425,-8.435235830525909e-11,0.11637349080738041
C3orf38,ENSG00000179021,131,False,131,0.056296296,95.14814814814815,152.0,True,0.22060064672536897,2.15745283033934,0.80638945,1.0450018274684672e-10,0.37605028348128267
MINA,ENSG00000170854,101,False,101,0.044444446,96.25925925925925,120.0,True,0.1615185041360343,2.4521532457725357,1.3882672,-7.202039621742138e-11,0.31416245958093747
TBC1D23,ENSG00000036054,55,False,55,0.025925925,97.96296296296296,70.0,True,0.11226783843471118,2.8927311171657664,2.2581758,1.3874517506591474e-10,0.25139699396604703
NIT2,ENSG00000114021,190,False,190,0.10222222,92.96296296296296,276.0,True,0.35539610012717504,3.7649432811545984,2.0040185,-4.1376423709224445e-10,0.4560514415022756
BBX,ENSG00000114439,386,False,386,0.17296296,85.70370370370371,467.0,True,0.5655600216060458,2.979491687635594,0.91979134,9.602719495656184e-11,0.6148590148008107
CD47,ENSG00000196776,669,False,669,0.33333334,75.22222222222223,900.0,True,0.8818368072254592,3.4046260720903367,1.5104637,-1.4686512169827105e-10,0.7798253993898058
CD96,ENSG00000153283,320,False,320,0.14185186,88.14814814814815,383.0,True,0.469862957603986,2.8423248365811276,0.82161236,-2.937302433965421e-10,0.5584410203624672
TIGIT,ENSG00000181847,189,False,189,0.11074074,93.0,299.0,True,0.4306306712201329,3.632489305088946,1.8342687,1.6504674133159066e-10,0.5109533570056121
B4GALT4,ENSG00000121578,76,False,76,0.034074076,97.18518518518519,92.0,True,0.14995376949960337,3.03279398580798,2.5347261,8.472987790284869e-12,0.2942749224448463
TIMMDC1,ENSG00000113845,254,False,254,0.115185186,90.5925925925926,311.0,True,0.40653445155067625,3.65793255866783,1.8668762,-1.920543899131237e-10,0.49843354773429177
FSTL1,ENSG00000163430,7,False,7,0.0025925925,99.74074074074075,7.0,True,0.03104212143279481,2.604405926349265,1.6888858,-3.44042745602428e-11,0.12922609879501926
HGD,ENSG00000113924,7,False,7,0.0037037036,99.74074074074075,10.0,True,0.03444414190432289,2.9143826601213694,2.3009262,-6.626641144667109e-11,0.13097019257098713
GOLGB1,ENSG00000173230,57,False,57,0.028148148,97.88888888888889,76.0,True,0.10849414480080719,2.1216540066777436,0.7357057,7.413864316499261e-12,0.2576891936206163
EAF2,ENSG00000145088,253,False,253,0.11888889,90.62962962962963,321.0,True,0.4320766733380804,2.6634361515143836,0.5923528,7.202039621742138e-11,0.5283353773267618
KPNA1,ENSG00000114030,111,False,111,0.052592594,95.88888888888889,142.0,True,0.21229470954050955,3.7592577141310075,3.9691083,2.3441932886454806e-10,0.34232854184495304
PDIA5,ENSG00000065485,17,False,17,0.006666667,99.37037037037038,18.0,True,0.03363000701814667,2.1670822551062803,0.82540244,-6.478305247988639e-11,0.1408327423307054
GATA2,ENSG00000179348,4,False,4,0.0033333334,99.85185185185185,9.0,True,0.012858308400863282,2.327742218427953,1.142621,-9.065361720498088e-12,0.08588876187599415
RAB7A,ENSG00000075785,840,False,840,0.42185184,68.88888888888889,1139.0,True,1.0116104863512245,2.9882182898952148,0.86143726,-5.3662256005137505e-11,0.8375639326468195
GP9,ENSG00000169704,16,False,16,0.022962963,99.4074074074074,62.0,True,0.169288653758899,3.9340769556296746,4.314284,3.217004807602397e-10,0.24784929448377532
ISY1,ENSG00000240682,214,False,214,0.096666664,92.07407407407408,261.0,True,0.364339494853635,3.9725656140312013,2.2701025,-1.3274347538112961e-10,0.46178531104122034
ACPP,ENSG00000014257,12,False,12,0.004814815,99.55555555555556,13.0,True,0.02321362201422129,2.191169076667982,0.8729612,4.955815254421827e-11,0.11610624442860226
NPHP3,ENSG00000113971,55,False,55,0.031111112,97.96296296296296,84.0,True,0.12439552315693819,3.65682211984462,3.7668521,1.6451717959469788e-10,0.2535615366937795
UBA5,ENSG00000081307,110,False,110,0.056296296,95.92592592592592,152.0,True,0.21425965622094806,3.643773256394206,3.7410874,4.2364938951424346e-11,0.3417038131523794
CDV3,ENSG00000091527,273,False,273,0.12111111,89.88888888888889,327.0,True,0.43714052541447057,3.5458876587881503,1.7232821,-2.8243292634282896e-10,0.5211466894150321
RAB6B,ENSG00000154917,5,False,5,0.0018518518,99.81481481481481,5.0,True,0.013991345539758783,2.416149192147018,1.3171781,-2.12212557357385e-12,0.08904442133780105
ANAPC13,ENSG00000129055,272,False,272,0.13074075,89.92592592592592,353.0,True,0.504466655169605,5.149123396168003,3.7779515,2.993789019233987e-10,0.5147983632268893
NMNAT3,ENSG00000163864,16,False,16,0.008148148,99.4074074074074,22.0,True,0.04528396918508629,3.4049648771775707,3.269567,-6.778390232227895e-11,0.1460597217233281
RNF7,ENSG00000114125,673,False,673,0.32296297,75.07407407407408,872.0,True,0.8400162243788107,2.887399094990756,0.78939,-3.784601212993908e-10,0.7597128880876574
U2SURP,ENSG00000163714,231,False,231,0.10962963,91.44444444444444,296.0,True,0.3909780823268772,3.1402419997172055,1.2034161,0.0,0.4986755389720734
GYG1,ENSG00000163754,310,False,310,0.14407407,88.51851851851852,389.0,True,0.5096843313053729,4.210852491044193,2.5754855,3.954060968799606e-11,0.5523609881190623
SIAH2,ENSG00000181788,326,False,326,0.14703704,87.92592592592592,397.0,True,0.5341610584384533,3.8757613132144453,2.1460404,2.2594634107426317e-11,0.5795915008336068
GPR171,ENSG00000174946,135,False,135,0.06851852,95.0,185.0,True,0.2730726271605555,3.3770590662304896,3.2144678,7.908121937599212e-11,0.402682657697493
MBNL1-AS1,ENSG00000229619,29,False,29,0.011481482,98.92592592592592,31.0,True,0.05837314025480154,2.3349727893012946,1.1568977,9.902804479895441e-11,0.18558201797698148
LINC00886,ENSG00000240875,7,False,7,0.018148148,99.74074074074075,49.0,True,0.07130844553364833,4.950367415534479,6.320921,-2.3697887725952994e-11,0.13059802900969977
MFSD1,ENSG00000118855,163,False,163,0.07296296,93.96296296296296,197.0,True,0.26801144885471545,2.326241008212245,1.1396569,3.3891951161139476e-11,0.40951944057208955
SPTSSB,ENSG00000196542,15,False,15,0.008148148,99.44444444444444,22.0,True,0.03387301888517901,2.1398004497790595,0.7715353,3.724065988616261e-11,0.1427629677304981
RPL22L1,ENSG00000163584,537,False,537,0.25703704,80.11111111111111,694.0,True,0.7323218655523668,2.7339154723492367,0.5720603,2.2594634107426317e-11,0.7141139589045498
TNFSF10,ENSG00000121858,577,False,577,0.3637037,78.62962962962963,982.0,True,0.8607078945118687,2.933823931054369,0.7766565,-1.4121646317141448e-11,0.7586906810427801
ZMAT3,ENSG00000172667,70,False,70,0.028888889,97.4074074074074,78.0,True,0.1290114726907691,2.321675594233004,1.1306427,-1.793449082276964e-10,0.28206063832760275
RP11-145M9.4,ENSG00000269728,12,False,12,0.004814815,99.55555555555556,13.0,True,0.01866576844802704,2.2931353949551316,1.0742909,1.7565521440723623e-11,0.10272972654537789
ACTL6A,ENSG00000136518,116,False,116,0.06,95.7037037037037,162.0,True,0.2274525580911152,3.772316487038628,3.9948926,3.530411579285362e-12,0.35489626180410094
TTC14,ENSG00000163728,213,False,213,0.101111114,92.11111111111111,273.0,True,0.3821497147080062,3.1469879144286534,1.2120614,-2.993789019233987e-10,0.4875360675926142
LAMP3,ENSG00000078081,13,False,13,0.013333334,99.51851851851852,36.0,True,0.06913494661161793,4.602545391841034,5.634156,5.922265424251194e-11,0.1475560079555488
KLHL6,ENSG00000172578,57,False,57,0.026296297,97.88888888888889,71.0,True,0.09493224368796571,2.880268740290215,2.2335691,-1.6250787894195615e-10,0.22960809397534104
KLHL24,ENSG00000114796,114,False,114,0.055185184,95.77777777777777,149.0,True,0.2019717501233276,3.0409460602875806,2.550822,-7.060823158570724e-12,0.34686946091501425
YEATS2,ENSG00000163872,34,False,34,0.013703704,98.74074074074073,37.0,True,0.0655592532591014,2.100875018336811,0.6946781,7.060823158570724e-11,0.19966008746266456
PARL,ENSG00000175193,349,False,349,0.15814815,87.07407407407408,427.0,True,0.5083501062857523,3.1019493825966507,1.1543411,-7.343256084913553e-11,0.576678604396125
SENP2,ENSG00000163904,40,False,40,0.017777778,98.51851851851852,48.0,True,0.07803060670563157,2.418827903471745,1.3224672,-9.048334552346531e-11,0.21454437349982633
RPL39L,ENSG00000163923,50,False,50,0.025185185,98.14814814814815,68.0,True,0.10509249043578564,2.8705646121161594,2.2144086,-8.896637179799112e-11,0.24431488094811743
RP11-211G3.2,ENSG00000223401,3,False,3,0.008148148,99.8888888888889,22.0,True,0.02982685550130963,4.111795968108139,4.6651855,-4.264695815766023e-11,0.0962233035686447
IL1RAP,ENSG00000196083,16,False,16,0.00962963,99.4074074074074,26.0,True,0.0407449929759481,2.85065243032061,2.1750927,9.602719495656184e-11,0.14794820827384467
FAM43A,ENSG00000185112,53,False,53,0.022592593,98.03703703703704,61.0,True,0.09749140591687315,2.135417748165855,0.76288176,9.496807148277624e-11,0.24514849283732204
PPP1R2,ENSG00000184203,754,False,754,0.35481483,72.07407407407406,958.0,True,0.9809735730753235,3.640534172966472,1.8781576,3.9752434382753177e-10,0.8266449149177073
PCYT1A,ENSG00000161217,81,False,81,0.035925925,97.0,97.0,True,0.15609925384301798,3.3987815075540384,3.257358,-2.0617603623026515e-10,0.2934284870904681
RNF168,ENSG00000163961,87,False,87,0.046666667,96.77777777777777,126.0,True,0.1921665507753384,4.047866248978424,4.538958,-7.131431390156431e-11,0.3144990401339882
PIGX,ENSG00000163964,145,False,145,0.072222225,94.62962962962963,195.0,True,0.2580272748531309,3.9658014620544044,4.376923,-2.3441932886454806e-10,0.3758246809831207
ZNF718,ENSG00000250312,18,False,18,0.006666667,99.33333333333333,18.0,True,0.04337451898582693,2.1510000804871483,0.79364866,-6.066653741575874e-11,0.16148997779113805
PDE6B,ENSG00000133256,43,False,43,0.02962963,98.4074074074074,80.0,True,0.12349449254181862,4.358210622168415,5.1517243,-1.0167585348341843e-10,0.2314379311451761
IDUA,ENSG00000127415,18,False,18,0.017407408,99.33333333333333,47.0,True,0.08097533625658147,4.73385997022333,5.893433,6.776183724990842e-11,0.1589500800971093
SPON2,ENSG00000159674,216,False,216,0.16148148,92.0,436.0,True,0.6083290592804957,2.8571884961061014,0.7466124,-1.9690870583464107e-10,0.6227333648174481
MAEA,ENSG00000090316,204,False,204,0.09925926,92.44444444444444,268.0,True,0.41616085681697096,4.882571048916687,3.4363444,5.7898749900279937e-11,0.46320491433283095
SLBP,ENSG00000163950,300,False,300,0.14518519,88.88888888888889,392.0,True,0.4611008194087399,3.035722294355306,1.069466,1.5533810948855594e-10,0.5462337974591407
ZFYVE28,ENSG00000159733,64,False,64,0.027037038,97.62962962962963,73.0,True,0.11096348762306332,2.1811300911208527,0.8531395,8.861333064006259e-11,0.26232647834523126
ADD1,ENSG00000087274,252,False,252,0.12407407,90.66666666666666,335.0,True,0.4152419988577848,2.94142043848927,0.94861096,1.7510841433255396e-10,0.514633389818111
MFSD10,ENSG00000109736,248,False,248,0.11777778,90.81481481481481,318.0,True,0.42530654233481546,3.347760555179777,1.469367,9.602719495656184e-11,0.514263186485957
LYAR,ENSG00000145220,499,False,499,0.3174074,81.51851851851852,857.0,True,0.8966042181887066,3.751080962016837,2.0504594,7.343256084913553e-11,0.7800584118566151
STX18,ENSG00000168818,128,False,128,0.06851852,95.25925925925925,185.0,True,0.26644640714624024,3.9523391190519854,4.3503423,1.2850698148598718e-10,0.37326313000308087
JAKMIP1,ENSG00000152969,34,False,34,0.015925925,98.74074074074073,43.0,True,0.0668186044102141,2.529717953584817,1.5414165,1.765205789642681e-11,0.19817838944473176
AC093323.3,ENSG00000170846,100,False,100,0.042592593,96.2962962962963,115.0,True,0.19208729136617567,2.221599224053774,0.9330447,7.797796575746544e-11,0.34720088233938096
S100P,ENSG00000163993,9,False,9,0.0033333334,99.66666666666667,9.0,True,0.02334650864789959,2.098883782853426,0.6907465,-6.147708405862005e-11,0.11868050698145428
GRPEL1,ENSG00000109519,244,False,244,0.11666667,90.96296296296296,315.0,True,0.4315815813970957,4.548639375634989,3.0083852,1.5816243875198423e-10,0.49334169538496336
FGFBP2,ENSG00000137441,296,False,296,0.39185184,89.03703703703704,1058.0,True,1.1238739590200781,3.731284492613513,2.019604,-3.134564180957991e-10,0.8573982985697668
MED28,ENSG00000118579,458,False,458,0.21,83.03703703703704,567.0,True,0.6350285520386919,2.875915834157796,0.77312994,3.106762189771119e-10,0.6569400333556809
DHX15,ENSG00000109606,136,False,136,0.06814815,94.96296296296296,184.0,True,0.23482990814316226,3.160722870192115,2.787318,1.6804759117398324e-10,0.37600902061740665
ANAPC4,ENSG00000053900,83,False,83,0.035555556,96.92592592592592,96.0,True,0.13552213628667314,2.4467795215288985,1.3776569,7.978730169184919e-11,0.28690940533978554
RBPJ,ENSG00000168214,234,False,234,0.10555556,91.33333333333333,285.0,True,0.38182728141552147,3.7208496076076125,1.9475092,-9.037853642970527e-11,0.4786571161258056
PGM2,ENSG00000169299,77,False,77,0.034444444,97.14814814814815,93.0,True,0.12553383237438864,2.6504222669598505,1.7797438,-8.598207075987647e-11,0.2726906739089876
RFC1,ENSG00000035928,144,False,144,0.07074074,94.66666666666667,191.0,True,0.2517772687677306,3.4857466166830946,3.4290683,1.3133131074941547e-10,0.3833795577620303
SMIM14,ENSG00000163683,275,False,275,0.13037036,89.81481481481481,352.0,True,0.46791637619118,3.1747193646291563,1.2476014,-2.3724365812797635e-10,0.5486635639820511
UBE2K,ENSG00000078140,189,False,189,0.09037037,93.0,244.0,True,0.322562504576553,3.439930734063371,1.5874901,1.1862182906398817e-10,0.4409473879490195
COMMD8,ENSG00000169019,326,False,326,0.14592592,87.92592592592592,394.0,True,0.4755199040975104,2.656660360147607,0.5836691,2.5701396297197436e-10,0.5608595239782977
OCIAD1,ENSG00000109180,523,False,523,0.24259259,80.62962962962963,655.0,True,0.7136278434425087,2.7218517368322126,0.55497825,8.360014619747738e-10,0.7021360446715423
CHIC2,ENSG00000109220,195,False,195,0.085185185,92.77777777777779,230.0,True,0.31499956748522057,3.051913139616349,1.0902158,1.4121646317141448e-11,0.4430937363522266
TMEM165,ENSG00000134851,402,False,402,0.19629629,85.11111111111111,530.0,True,0.6068080791954334,3.5920542323470466,1.7871678,-5.987578038467974e-10,0.6280676093998973
PAICS,ENSG00000128050,79,False,79,0.04,97.07407407407408,108.0,True,0.15562597841332373,3.4670529801122787,3.3921583,2.4712881054997533e-11,0.2903755174410006
SRP72,ENSG00000174780,443,False,443,0.20037037,83.5925925925926,541.0,True,0.5929522082004746,2.7486405144253356,0.59291065,9.214374221934795e-11,0.6307495533581507
HOPX,ENSG00000171476,403,False,403,0.2837037,85.07407407407408,766.0,True,0.8558372065756887,2.96175627853487,0.82019275,4.78017727835238e-10,0.7754717006949998
IGFBP7,ENSG00000163453,228,False,228,0.15,91.55555555555556,405.0,True,0.5274522994754974,4.059779675549066,2.381874,2.894937495013997e-10,0.55308275805652
YTHDC1,ENSG00000083896,170,False,170,0.078888886,93.7037037037037,213.0,True,0.2915706358616474,3.448951123619289,1.5990504,-1.0167585348341843e-10,0.418038367192191
IGJ,ENSG00000132465,72,False,72,0.16777778,97.33333333333334,453.0,True,0.33795021500562317,5.056736511309509,3.6595507,1.9476839381469932e-10,0.3574898574989738
GRSF1,ENSG00000132463,340,False,340,0.1411111,87.4074074074074,381.0,True,0.4798749963170946,2.685750467445579,0.62095034,-3.4456817013825134e-10,0.5614222932539169
IL8,ENSG00000169429,204,False,204,0.18888889,92.44444444444444,510.0,True,0.5719265794272992,3.179360182497,1.2028012,-2.1553162691537135e-10,0.5917975545303455
PF4,ENSG00000163737,43,False,43,0.11074074,98.4074074074074,299.0,True,0.6414293815774044,5.172661441933075,4.025276,-2.305965550763531e-10,0.40169240258349925
PPBP,ENSG00000163736,79,False,79,0.24518518,97.07407407407408,662.0,True,1.2550295142807124,6.286000984336547,5.5180373,-1.650191599911275e-10,0.5099879598910579
CXCL3,ENSG00000163734,8,False,8,0.0074074073,99.70370370370371,20.0,True,0.02068427805963448,2.2964881199634855,1.0809107,8.69744818664168e-11,0.10845504865328644
CXCL2,ENSG00000081041,47,False,47,0.028518518,98.25925925925925,77.0,True,0.10051201448178855,2.1260767414223256,0.74443823,-1.2617773728387273e-11,0.24729159201782316
EREG,ENSG00000124882,44,False,44,0.022592593,98.37037037037038,61.0,True,0.08729635096992358,2.0154219853634854,0.5259535,2.2747710546996892e-11,0.23160807743837306
RCHY1,ENSG00000163743,116,False,116,0.055185184,95.7037037037037,149.0,True,0.21538652600189925,3.6332065027679845,3.7202237,4.09527743197102e-11,0.3483467245844977
SDAD1,ENSG00000198301,165,False,165,0.074074075,93.88888888888889,200.0,True,0.26252814371289024,2.5758794768291753,1.6325611,1.454529570665569e-10,0.40703951557883716
CXCL10,ENSG00000169245,12,False,12,0.018148148,99.55555555555556,49.0,True,0.04030435789976579,3.6710263490734456,3.794898,-2.665771032440659e-11,0.13019944079491352
NUP54,ENSG00000138750,122,False,122,0.06851852,95.48148148148148,185.0,True,0.22596511910263872,2.9715297073202214,2.4137614,3.488046640333938e-10,0.3640534521589989
SEPT11,ENSG00000138758,85,False,85,0.044444446,96.85185185185186,120.0,True,0.18776473210914676,3.994379171904099,4.433349,7.625689011256382e-11,0.31231451776765207
MRPL1,ENSG00000169288,133,False,133,0.061481483,95.07407407407408,166.0,True,0.2464494048748629,3.346986159788581,3.1550896,1.1579749980055987e-10,0.3822646326865762
ANTXR2,ENSG00000163297,85,False,85,0.043703705,96.85185185185186,118.0,True,0.1437292632144625,2.1267468145764767,0.7457613,-2.2947675265354853e-11,0.29972986928868
SEC31A,ENSG00000138674,174,False,174,0.075555556,93.55555555555556,204.0,True,0.2794938776678998,2.9543044770429803,2.3797507,-3.3185868845282405e-10,0.41575695401266693
COPS4,ENSG00000138663,225,False,225,0.093333334,91.66666666666666,252.0,True,0.3609461154605582,3.494532070700479,1.6574659,-6.637173769056481e-10,0.46994076283884495
HELQ,ENSG00000163312,87,False,87,0.042962965,96.77777777777777,116.0,True,0.18120777035987307,3.910306454787421,4.2673497,-6.231176437438664e-11,0.3076385395701113
ARHGAP24,ENSG00000138639,86,False,86,0.054444443,96.81481481481482,147.0,True,0.2547297221560887,4.811377288169032,6.0464892,-1.1985747311673803e-10,0.34073703763144836
SNCA,ENSG00000145335,58,False,58,0.023333333,97.85185185185186,63.0,True,0.11662063478358638,2.459836502667646,1.4034375,-1.2868350206495144e-10,0.2602163405647892
DNAJB14,ENSG00000164031,122,False,122,0.055185184,95.48148148148148,149.0,True,0.20984828663684743,2.5607564621723915,1.6027012,5.648658526856579e-11,0.36014221619999026
MANBA,ENSG00000109323,80,False,80,0.036666665,97.03703703703704,99.0,True,0.13202136186945346,2.081945809243747,0.6573029,-3.587780767448749e-11,0.28540772801261355
UBE2D3,ENSG00000109332,1526,False,1526,1.0222223,43.481481481481474,2760.0,True,1.6707183021885261,2.822783524605368,0.54044574,1.9973303509806936e-10,1.0350249169208283
PPA2,ENSG00000138777,240,False,240,0.11444444,91.11111111111111,309.0,True,0.3916538472039336,3.4554514866596193,1.6073812,-1.7733698664197786e-10,0.48733850879325513
INTS12,ENSG00000138785,99,False,99,0.08,96.33333333333334,216.0,True,0.2725240347669689,4.318441946684664,5.073202,-1.3697996927627205e-10,0.34742621158003334
TBCK,ENSG00000145348,38,False,38,0.025555555,98.59259259259258,69.0,True,0.10993282467285687,4.1977553376251935,4.8349094,9.743935958827599e-11,0.21929755309676754
OSTC,ENSG00000198856,506,False,506,0.23666666,81.25925925925925,639.0,True,0.6857234424389207,2.7597443211162265,0.6086334,-2.2594634107426317e-10,0.6817783385299299
PLA2G12A,ENSG00000123739,120,False,120,0.057777777,95.55555555555556,156.0,True,0.2319118778891591,2.7100660880441945,1.8975089,-6.317230219683745e-11,0.37290853180144323
SNHG8,ENSG00000269893,678,False,678,0.33407408,74.8888888888889,902.0,True,0.8958345652160218,2.8652303804903707,0.6697444,5.874604867930842e-10,0.8004700293332653
C4orf3,ENSG00000164096,997,False,997,0.51,63.07407407407408,1377.0,True,1.2695266582757458,5.49620341560782,4.348996,-2.9077352369889066e-10,0.9039131780477411
SPRY1,ENSG00000164056,19,False,19,0.008518519,99.29629629629629,23.0,True,0.04223785143877954,2.029681820865071,0.55410916,-6.982699011708804e-11,0.16061656051368914
PGRMC2,ENSG00000164040,120,False,120,0.052962963,95.55555555555556,143.0,True,0.20028477344777307,2.568444152099607,1.6178803,2.1041253012540759e-10,0.35077036961927693
C4orf33,ENSG00000151470,53,False,53,0.03259259,98.03703703703704,88.0,True,0.12288424462507859,3.84724913860311,4.142845,1.8005099054355346e-11,0.24574927444976902
RP11-102N12.3,ENSG00000273472,27,False,27,0.01037037,99.0,28.0,True,0.05397923012183919,2.0377568992323014,0.57005316,-1.8818196971209506e-10,0.18135577596431415
ZNF330,ENSG00000109445,154,False,154,0.07,94.2962962962963,189.0,True,0.23788573133860955,2.4393489090316187,1.3629854,9.743935958827599e-11,0.3877348813166567
USP38,ENSG00000170185,60,False,60,0.04148148,97.77777777777777,112.0,True,0.16555020749042493,4.861466862731908,6.1453896,-1.638110972788408e-10,0.25468399118978957
LSM6,ENSG00000164167,446,False,446,0.2174074,83.48148148148148,587.0,True,0.6463608625651059,3.307895052151629,1.384804,-2.358314934962622e-10,0.6450987758995578
LRBA,ENSG00000198589,147,False,147,0.06111111,94.55555555555556,165.0,True,0.2360868017911665,2.157182377152782,0.8058554,-8.19055486394204e-11,0.3903805530825168
RP11-18H21.1,ENSG00000245954,112,False,112,0.05,95.85185185185185,135.0,True,0.19399836232521844,2.0153714883447154,0.5258538,-5.225009137342336e-11,0.35359032703590965
PLRG1,ENSG00000171566,189,False,189,0.0862963,93.0,233.0,True,0.326133073621036,3.782601050270142,2.0266485,-2.5418963370854608e-11,0.43851380811678975
PALLD,ENSG00000129116,11,False,11,0.004074074,99.59259259259258,11.0,True,0.02418606826683239,2.153156590653696,0.79790664,-1.0932165963487514e-11,0.12020084639657008
RWDD4,ENSG00000182552,158,False,158,0.07037037,94.14814814814815,190.0,True,0.25935720881463203,2.336906196338725,1.1607151,-3.8693310908967566e-10,0.4087079573841444
RP11-701P16.5,ENSG00000251230,8,False,8,0.005925926,99.70370370370371,16.0,True,0.024874220999358394,3.350606735687419,3.1622384,-5.780833481857412e-12,0.10551769539054548
